B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,女性,949,0.949
踊り子,スカート,蝶,美しさ,21,0.021
踊り子,スカート,蝶,舞う,21,0.021
踊り子,スカート,蝶,花,4,0.004
踊り子,スカート,蝶,飛ぶ,1,0.001
踊り子,スカート,蝶,羽,1,0.001
踊り子,スカート,NA,NA,3,0.003
踊り子,踊り,蝶,女性,350,0.35
踊り子,踊り,蝶,美しさ,298,0.298
踊り子,踊り,蝶,儚さ,4,0.004
踊り子,踊り,蝶,舞う,345,0.345
踊り子,踊り,蝶,花,1,0.001
踊り子,踊り,蝶,羽,1,0.001
踊り子,踊り,蝶,空,1,0.001
踊り子,踊り,NA,NA,0,0.0
踊り子,女性,蝶,女性,1000,1.0
踊り子,女性,NA,NA,0,0.0
踊り子,舞台,蝶,舞う,725,0.725
踊り子,舞台,蝶,空,10,0.01
踊り子,舞台,蝶,花,32,0.032
踊り子,舞台,蝶,女性,163,0.163
踊り子,舞台,蝶,美しさ,62,0.062
踊り子,舞台,蝶,儚さ,3,0.003
踊り子,舞台,蝶,飛ぶ,2,0.002
踊り子,舞台,蝶,羽,1,0.001
踊り子,舞台,NA,NA,2,0.002
踊り子,夜,蝶,美しさ,36,0.036
踊り子,夜,蝶,空,461,0.461
踊り子,夜,蝶,儚さ,476,0.476
踊り子,夜,蝶,舞う,9,0.009
踊り子,夜,蝶,女性,8,0.008
踊り子,夜,蝶,羽,2,0.002
踊り子,夜,蝶,花,2,0.002
踊り子,夜,NA,NA,6,0.006
踊り子,音楽,蝶,花,75,0.075
踊り子,音楽,蝶,舞う,603,0.603
踊り子,音楽,蝶,女性,58,0.058
踊り子,音楽,蝶,美しさ,216,0.216
踊り子,音楽,蝶,空,9,0.009
踊り子,音楽,蝶,儚さ,13,0.013
踊り子,音楽,蝶,飛ぶ,3,0.003
踊り子,音楽,蝶,羽,3,0.003
踊り子,音楽,NA,NA,20,0.02
踊り子,揺れる,蝶,舞う,58,0.058
踊り子,揺れる,蝶,羽,500,0.5
踊り子,揺れる,蝶,儚さ,225,0.225
踊り子,揺れる,蝶,美しさ,111,0.111
踊り子,揺れる,蝶,花,23,0.023
踊り子,揺れる,蝶,女性,19,0.019
踊り子,揺れる,蝶,空,4,0.004
踊り子,揺れる,蝶,飛ぶ,8,0.008
踊り子,揺れる,NA,NA,52,0.052
踊り子,回る,蝶,舞う,467,0.467
踊り子,回る,蝶,女性,146,0.146
踊り子,回る,蝶,羽,133,0.133
踊り子,回る,蝶,飛ぶ,20,0.02
踊り子,回る,蝶,美しさ,55,0.055
踊り子,回る,蝶,儚さ,11,0.011
踊り子,回る,蝶,空,44,0.044
踊り子,回る,蝶,花,20,0.02
踊り子,回る,NA,NA,104,0.104
